Case Name,Level,Num Nodes,Train Frame Num,Train Chamfer Error,Test Frame Num,Test Chamfer Error
double_stretch_zebra,0,4208,137,0.00728491931834197,60,0.008635286808324356
double_stretch_zebra,1,2644,137,0.00676625515640217,60,0.010590546469514569
double_stretch_zebra,2,1671,137,0.00822488343288755,60,0.010555924847722054
double_stretch_zebra,3,1088,137,0.014907362714518596,60,0.014355123415589333
double_stretch_zebra,AVG,N/A,N/A,0.009295855155537571,N/A,0.011034220385287577
double_lift_sloth,0,6660,42,0.004223836358592269,19,0.016270479285403303
double_lift_sloth,1,4239,42,0.006699333272297822,19,0.01685632961361032
double_lift_sloth,2,2669,42,0.010154211217360128,19,0.020303407487900632
double_lift_sloth,3,1689,42,0.015497106116353757,19,0.02647356198806512
double_lift_sloth,AVG,N/A,N/A,0.009143621741150994,N/A,0.019975944593744844
single_push_sloth,0,6270,46,0.006784454392998115,21,0.01134176774039155
single_push_sloth,1,3972,46,0.007981925220836116,21,0.010034391833912758
single_push_sloth,2,2500,46,0.012839673279339204,21,0.020507605081158026
single_push_sloth,3,1608,46,0.016979369132415108,21,0.026662686484910193
single_push_sloth,AVG,N/A,N/A,0.011146355506397136,N/A,0.017136612785093132
single_push_rope_4,0,855,57,0.0027890109595957034,25,0.0033476082514971497
single_push_rope_4,1,526,57,0.00806778561928424,25,0.011388680450618267
single_push_rope_4,2,340,57,0.010486022430357704,25,0.01479976937174797
single_push_rope_4,3,215,57,0.011923600265984996,25,0.01993468925356865
single_push_rope_4,AVG,N/A,N/A,0.00831660481880566,N/A,0.012367686831858009
single_lift_cloth_3,0,8582,108,0.006006658561225912,47,0.017972357472048162
single_lift_cloth_3,1,5459,108,0.008966073637431557,47,0.034998103659203715
single_lift_cloth_3,2,3369,108,0.0100127047152017,47,0.029662998789485466
single_lift_cloth_3,3,2072,108,0.012707755681023829,47,0.02885694627432113
single_lift_cloth_3,AVG,N/A,N/A,0.00942329814872075,N/A,0.027872601548764617
single_lift_dinosor,0,7576,59,0.004688986399510907,26,0.008708188578916283
single_lift_dinosor,1,4759,59,0.005877919297791638,26,0.016925799696204755
single_lift_dinosor,2,3021,59,0.008545692189265106,26,0.015551157009143095
single_lift_dinosor,3,1909,59,0.01849220407400596,26,0.023038573992940094
single_lift_dinosor,AVG,N/A,N/A,0.009401200490143403,N/A,0.016055929819301058
double_lift_cloth_3,0,7521,81,0.002347129105337332,36,0.012249713828269806
double_lift_cloth_3,1,4748,81,0.004687903520800633,36,0.023578912899312045
double_lift_cloth_3,2,2980,81,0.0063459501820214,36,0.025052243610844016
double_lift_cloth_3,3,1903,81,0.00809366649798589,36,0.0267653237355666
double_lift_cloth_3,AVG,N/A,N/A,0.005368662326536313,N/A,0.021911548518498115
single_lift_cloth_1,0,5490,76,0.0048479560952584605,33,0.011694993428660162
single_lift_cloth_1,1,3475,76,0.005804936652758012,33,0.016506662140741493
single_lift_cloth_1,2,2183,76,0.0065729226365587425,33,0.01860284192882704
single_lift_cloth_1,3,1375,76,0.009133533439844063,33,0.018980961998529507
single_lift_cloth_1,AVG,N/A,N/A,0.006589837206104819,N/A,0.016446364874189552
single_lift_zebra,0,4934,45,0.0031014203585477337,20,0.020113795739598574
single_lift_zebra,1,3114,45,0.004513223660695884,20,0.015199914854019881
single_lift_zebra,2,1985,45,0.006160065976695882,20,0.023984842654317617
single_lift_zebra,3,1282,45,0.00925019316168295,20,0.028116975165903568
single_lift_zebra,AVG,N/A,N/A,0.005756225789405612,N/A,0.021853882103459912
single_push_rope,0,2332,39,0.0038828563888390097,18,0.005064291362133291
single_push_rope,1,1476,39,0.004904090773123197,18,0.005305025312635634
single_push_rope,2,940,39,0.006403521097336824,18,0.009522102721449401
single_push_rope,3,571,39,0.007627208514186816,18,0.009732125689172082
single_push_rope,AVG,N/A,N/A,0.005704419193371462,N/A,0.007405886271347602
single_clift_cloth_3,0,8158,66,0.0016805782674275565,30,0.004913310885118941
single_clift_cloth_3,1,5161,66,0.0034823872212489896,30,0.009799427554632227
single_clift_cloth_3,2,3264,66,0.0050597958069181805,30,0.011155189713463187
single_clift_cloth_3,3,2026,66,0.00679663247005506,30,0.012730077312638362
single_clift_cloth_3,AVG,N/A,N/A,0.004254848441412447,N/A,0.00964950136646318
double_lift_zebra,0,4607,39,0.0036325667722102925,18,0.012025204487144947
double_lift_zebra,1,2919,39,0.006073069173651628,18,0.013499164177725712
double_lift_zebra,2,1854,39,0.008067564202997929,18,0.01606559505065282
double_lift_zebra,3,1173,39,0.011833729616437968,18,0.017612243588599894
double_lift_zebra,AVG,N/A,N/A,0.007401732441324455,N/A,0.014800551826030843
single_push_rope_1,0,2293,63,0.0032927353555957475,28,0.005248601082712412
single_push_rope_1,1,1439,63,0.004047167990061026,28,0.0051396210245522
single_push_rope_1,2,902,63,0.005110696970766026,28,0.0066724575756649885
single_push_rope_1,3,551,63,0.0063129799396154426,28,0.006688988933871899
single_push_rope_1,AVG,N/A,N/A,0.00469089506400956,N/A,0.005937417154200375
single_clift_cloth_1,0,6490,55,0.0028487569948827678,24,0.004909476013078044
single_clift_cloth_1,1,4098,55,0.003879010198976506,24,0.005889523386334379
single_clift_cloth_1,2,2611,55,0.006442040738395669,24,0.017905267033105094
single_clift_cloth_1,3,1630,55,0.007810545272447846,24,0.01914237334858626
single_clift_cloth_1,AVG,N/A,N/A,0.005245088301175697,N/A,0.011961659945275944
double_stretch_sloth,0,6487,133,0.005200421668701154,58,0.006002425400797149
double_stretch_sloth,1,4089,133,0.010775565582894742,58,0.010668780927642667
double_stretch_sloth,2,2570,133,0.02242542456317329,58,0.018960818343249888
double_stretch_sloth,3,1656,133,0.030680904087883636,58,0.023199378496742452
double_stretch_sloth,AVG,N/A,N/A,0.017270578975663205,N/A,0.014707850792108039
single_lift_rope,0,2148,34,0.0035992314395330407,15,0.0063142058749993644
single_lift_rope,1,1358,34,0.004279805545914261,15,0.005603463109582663
single_lift_rope,2,860,34,0.005263778449529234,15,0.009935617602119843
single_lift_rope,3,542,34,0.0062385825166369185,15,0.009551487273226182
single_lift_rope,AVG,N/A,N/A,0.004845349487903364,N/A,0.007851193464982012
double_lift_cloth_1,0,4742,80,0.003129770667874254,35,0.0051864018663764
double_lift_cloth_1,1,3007,80,0.0052883976604789495,35,0.016221648933632035
double_lift_cloth_1,2,1884,80,0.006768249359447509,35,0.01679601597466639
double_lift_cloth_1,3,1166,80,0.008269011328229681,35,0.024951441878718988
double_lift_cloth_1,AVG,N/A,N/A,0.005863857254007598,N/A,0.015788877163348453
single_lift_sloth,0,6895,58,0.0033190061663405904,26,0.010789243701415567
single_lift_sloth,1,4378,58,0.00446799520306803,26,0.01030545885889576
single_lift_sloth,2,2731,58,0.005921630887314677,26,0.01483877028266971
single_lift_sloth,3,1722,58,0.007991559257538155,26,0.017904293902504902
single_lift_sloth,AVG,N/A,N/A,0.005425047878565363,N/A,0.013459441686371483
single_lift_cloth_4,0,8185,119,0.009025870395839965,52,0.024087287306499023
single_lift_cloth_4,1,5166,119,0.011703110456529284,52,0.03975633055401536
single_lift_cloth_4,2,3245,119,0.009745815541876965,52,0.021655769373935003
single_lift_cloth_4,3,2006,119,0.01179351401710961,52,0.03176855084557946
single_lift_cloth_4,AVG,N/A,N/A,0.010567077602838957,N/A,0.02931698452000721
weird_package,0,4532,26,0.011549227906820865,12,0.025326528896888096
weird_package,1,2867,26,0.02256252491273559,12,0.0337245788735648
weird_package,2,1807,26,0.03759805507098253,12,0.04060554473350445
weird_package,3,1102,26,0.04747232200148014,12,0.04163301487763723
weird_package,AVG,N/A,N/A,0.02979553247300478,N/A,0.03532241684539865
single_lift_cloth,0,7793,120,0.014651226991554722,52,0.03363600058051256
single_lift_cloth,1,4892,120,0.01516635031051313,52,0.028130225658130188
single_lift_cloth,2,3084,120,0.017401032743509858,52,0.02517908815151224
single_lift_cloth,3,1946,120,0.020813332598966856,52,0.024211331037804484
single_lift_cloth,AVG,N/A,N/A,0.017007985661136142,N/A,0.027789161356989868
rope_double_hand,0,1753,183,0.005928595985484416,80,0.006702822411898524
rope_double_hand,1,1123,183,0.008110667716284266,80,0.008350495755439623
rope_double_hand,2,695,183,0.0137809800783101,80,0.013852892897557468
rope_double_hand,3,447,183,0.014183666549439802,80,0.013910967367701232
rope_double_hand,AVG,N/A,N/A,0.010500977582379646,N/A,0.010704294608149211

Layer-wise Average across all cases
Average,0,5386.86,N/A,0.005173,N/A,0.011843
Average,1,3404.95,N/A,0.007459,N/A,0.015840
Average,2,2143.86,N/A,0.010424,N/A,0.018280
Average,3,1349.05,N/A,0.013855,N/A,0.021192
